Word: accident, Cluster: 0
Word: crashed, Cluster: 0
Word: stolen, Cluster: 0
Word: locked, Cluster: 0
Word: crash, Cluster: 0
Word: z, Cluster: 1
Word: awsome, Cluster: 1
Word: tonite, Cluster: 1
Word: queen, Cluster: 1
Word: jones, Cluster: 1
Word: jam, Cluster: 1
Word: dj, Cluster: 1
Word: karaoke, Cluster: 1
Word: rocked, Cluster: 1
Word: incredible, Cluster: 1
Word: sang, Cluster: 1
Word: audition, Cluster: 1
Word: jazz, Cluster: 1
Word: beyonce, Cluster: 1
Word: solo, Cluster: 1
Word: kings, Cluster: 1
Word: choir, Cluster: 1
Word: wicked, Cluster: 1
Word: leon, Cluster: 1
Word: tryout, Cluster: 1
Word: flat, Cluster: 2
Word: gas, Cluster: 2
Word: riding, Cluster: 2
Word: cars, Cluster: 2
Word: road, Cluster: 2
Word: seat, Cluster: 2
Word: parking, Cluster: 2
Word: truck, Cluster: 2
Word: tire, Cluster: 2
Word: lil, Cluster: 3
Word: little, Cluster: 3
Word: wee, Cluster: 3
Word: link, Cluster: 4
Word: page, Cluster: 4
Word: celebrate, Cluster: 5
Word: funeral, Cluster: 5
Word: visiting, Cluster: 5
Word: law, Cluster: 5
Word: anniversary, Cluster: 5
Word: present, Cluster: 5
Word: gift, Cluster: 5
Word: celebrating, Cluster: 5
Word: sound, Cluster: 6
Word: sounds, Cluster: 6
Word: attempt, Cluster: 7
Word: forced, Cluster: 7
Word: afraid, Cluster: 7
Word: refuses, Cluster: 7
Word: unable, Cluster: 7
Word: normally, Cluster: 7
Word: easily, Cluster: 7
Word: apparently, Cluster: 7
Word: manage, Cluster: 7
Word: attempting, Cluster: 7
Word: surely, Cluster: 7
Word: struggling, Cluster: 7
Word: worries, Cluster: 7
Word: tempted, Cluster: 7
Word: hopes, Cluster: 7
Word: eventually, Cluster: 7
Word: complain, Cluster: 7
Word: tend, Cluster: 7
Word: wonders, Cluster: 7
Word: urge, Cluster: 7
Word: careful, Cluster: 7
Word: rarely, Cluster: 7
Word: refuse, Cluster: 7
Word: allergic, Cluster: 8
Word: bite, Cluster: 8
Word: bites, Cluster: 8
Word: ow, Cluster: 8
Word: thru, Cluster: 9
Word: quick, Cluster: 9
Word: along, Cluster: 9
Word: quickly, Cluster: 9
Word: faster, Cluster: 9
Word: slowly, Cluster: 9
Word: hrs, Cluster: 10
Word: hours, Cluster: 10
Word: hr, Cluster: 10
Word: yeah, Cluster: 11
Word: yea, Cluster: 11
Word: yes, Cluster: 11
Word: see, Cluster: 12
Word: seeing, Cluster: 12
Word: mine, Cluster: 13
Word: twice, Cluster: 13
Word: somehow, Cluster: 13
Word: accidentally, Cluster: 13
Word: earlier, Cluster: 13
Word: blocked, Cluster: 14
Word: hack, Cluster: 14
Word: deleting, Cluster: 14
Word: added, Cluster: 14
Word: via, Cluster: 14
Word: remove, Cluster: 14
Word: crashes, Cluster: 14
Word: status, Cluster: 14
Word: removed, Cluster: 14
Word: blocking, Cluster: 14
Word: spammers, Cluster: 14
Word: feed, Cluster: 14
Word: discovered, Cluster: 14
Word: uses, Cluster: 14
Word: main, Cluster: 14
Word: clicked, Cluster: 14
Word: opened, Cluster: 14
Word: fails, Cluster: 14
Word: loading, Cluster: 14
Word: adding, Cluster: 14
Word: porn, Cluster: 14
Word: connected, Cluster: 14
Word: timeline, Cluster: 14
Word: spymaster, Cluster: 14
Word: bouncing, Cluster: 15
Word: regretting, Cluster: 15
Word: separate, Cluster: 15
Word: accomplish, Cluster: 15
Word: twitting, Cluster: 15
Word: capabilities, Cluster: 15
Word: lined, Cluster: 15
Word: endless, Cluster: 15
Word: considered, Cluster: 15
Word: boxed, Cluster: 15
Word: wherever, Cluster: 15
Word: practically, Cluster: 15
Word: architecture, Cluster: 15
Word: commit, Cluster: 15
Word: operate, Cluster: 15
Word: entertained, Cluster: 15
Word: unnecessary, Cluster: 15
Word: underground, Cluster: 15
Word: whatsoever, Cluster: 15
Word: stands, Cluster: 15
Word: dangerous, Cluster: 15
Word: reflection, Cluster: 15
Word: diary, Cluster: 15
Word: specific, Cluster: 15
Word: dedicated, Cluster: 15
Word: tripping, Cluster: 15
Word: obnoxious, Cluster: 15
Word: remains, Cluster: 15
Word: stoopid, Cluster: 15
Word: contents, Cluster: 15
Word: majority, Cluster: 15
Word: absent, Cluster: 15
Word: behavior, Cluster: 15
Word: terrified, Cluster: 15
Word: warn, Cluster: 15
Word: grrrrrr, Cluster: 15
Word: sans, Cluster: 15
Word: inability, Cluster: 15
Word: provided, Cluster: 15
Word: autumn, Cluster: 15
Word: loudly, Cluster: 15
Word: decides, Cluster: 15
Word: shouting, Cluster: 15
Word: spoiled, Cluster: 15
Word: lingering, Cluster: 15
Word: glued, Cluster: 15
Word: tweaking, Cluster: 15
Word: importantly, Cluster: 15
Word: swapped, Cluster: 15
Word: inevitable, Cluster: 15
Word: slowing, Cluster: 15
Word: bugging, Cluster: 15
Word: hmph, Cluster: 15
Word: trends, Cluster: 15
Word: hookup, Cluster: 15
Word: drilling, Cluster: 15
Word: boooooooo, Cluster: 15
Word: thon, Cluster: 15
Word: native, Cluster: 15
Word: experts, Cluster: 15
Word: necessary, Cluster: 15
Word: bp, Cluster: 15
Word: damned, Cluster: 15
Word: distant, Cluster: 15
Word: reserved, Cluster: 15
Word: determined, Cluster: 15
Word: neeeed, Cluster: 15
Word: zen, Cluster: 15
Word: duties, Cluster: 15
Word: shocking, Cluster: 15
Word: nightly, Cluster: 15
Word: demands, Cluster: 15
Word: examiner, Cluster: 15
Word: slacking, Cluster: 15
Word: rare, Cluster: 15
Word: suitable, Cluster: 15
Word: vanishing, Cluster: 15
Word: unstable, Cluster: 15
Word: creativity, Cluster: 15
Word: stalking, Cluster: 15
Word: generally, Cluster: 15
Word: collapsed, Cluster: 15
Word: twat, Cluster: 15
Word: restarts, Cluster: 15
Word: proof, Cluster: 15
Word: matches, Cluster: 15
Word: appealing, Cluster: 15
Word: newer, Cluster: 15
Word: captured, Cluster: 15
Word: hammering, Cluster: 15
Word: employed, Cluster: 15
Word: err, Cluster: 15
Word: arrest, Cluster: 15
Word: unreliable, Cluster: 15
